WorldRank,Company,Country,Industry
265,HENKEL,Germany,Household Goods & Home Construction
266,ONO PHARMACEUTICAL,Japan,Pharmaceuticals & Biotechnology
267,EMBRAER,Brazil,Aerospace & Defence
268,RED HAT,US,Software & Computer Services
269,SAINT-GOBAIN,France,Construction & Materials
270,METALLURGICAL OF CHINA,China,General Industrials
271,CHEVRON,US,Oil & Gas Producers
272,KYOCERA,Japan,Electronic & Electrical Equipment
273,NATIONAL AUSTRALIA BANK,Australia,Banks
274,QORVO,US,Technology Hardware & Equipment
275,INCYTE,US,Pharmaceuticals & Biotechnology
276,GARMIN,Switzerland,Leisure Goods
277,QINGDAO HAIER,China,Household Goods & Home Construction
278,KAO,Japan,Personal Goods
279,CARL ZEISS,Germany,Health Care Equipment & Services
280,PPG INDUSTRIES,US,Construction & Materials
281,SAMSUNG SDI,South Korea,Electronic & Electrical Equipment
282,DELTA ELECTRONICS (TAIWAN),Taiwan,Electronic & Electrical Equipment
283,INFOR,US,Software & Computer Services
284,EVONIK INDUSTRIES,Germany,Chemicals
285,DAIKIN INDUSTRIES,Japan,General Industrials
286,GREAT WALL MOTOR,China,Automobiles & Parts
287,MAXIM INTEGRATED PRODUCTS,US,Technology Hardware & Equipment
288,ON SEMICONDUCTOR,US,Technology Hardware & Equipment
289,NIDEC,Japan,Electronic & Electrical Equipment
290,SEIKO EPSON,Japan,Technology Hardware & Equipment
291,THYSSENKRUPP,Germany,Industrial Metals & Mining
292,CIENA,US,Technology Hardware & Equipment
293,CHONGOING CHANGAN,China,Automobiles & Parts
294,TORONTO DOMINION,Canada,Banks
295,EDWARDS LIFESCIENCES,US,Health Care Equipment & Services
296,NETEASE,China,Software & Computer Services
297,PEGATRON,Taiwan,Software & Computer Services
298,SANDVIK,Sweden,Industrial Engineering
299,OMRON,Japan,Electronic & Electrical Equipment
300,CHINA SHIPBUILDING,China,Industrial Engineering
301,PHILIP MORRIS INTERNATIONAL,US,Tobacco
302,WISTRON,Taiwan,Technology Hardware & Equipment
303,XEROX,US,Technology Hardware & Equipment
304,KEYSIGHT TECHNOLOGIES,US,Electronic & Electrical Equipment
305,VALEANT PHARMACEUTICALS,Canada,Pharmaceuticals & Biotechnology
306,SHIN-ETSU CHEMICAL,Japan,Chemicals
307,UNITED MICROELECTRONICS,Taiwan,Technology Hardware & Equipment
308,GENERAL DYNAMICS,US,Aerospace & Defence
309,BROCADE COMMUNICATIONS,US,Technology Hardware & Equipment
310,JTEKT,Japan,Industrial Engineering
311,MENTOR GRAPHICS,US,Software & Computer Services
312,ASUSTEK COMPUTER,Taiwan,Technology Hardware & Equipment
313,LUPIN,India,Pharmaceuticals & Biotechnology
314,CHINA ENERGY ENGINEERING,China,Electricity
315,ZOETIS,US,Pharmaceuticals & Biotechnology
316,BP,UK,Oil & Gas Producers
317,GIVAUDAN,Switzerland,Chemicals
318,UNICREDIT,Italy,Banks
319,GOODYEAR,US,Automobiles & Parts
320,SHANGHAI ELECTRIC,China,Industrial Engineering
321,HEXAGON,Sweden,Industrial Engineering
322,FORTIVE,US,Electronic & Electrical Equipment
323,ZODIAC AEROSPACE,France,Aerospace & Defence
324,SEGA SAMMY,Japan,Travel & Leisure
325,SEATTLE GENETICS,US,Pharmaceuticals & Biotechnology
326,ALKERMES,Ireland,Pharmaceuticals & Biotechnology
327,ZEBRA TECHNOLOGIES,US,Electronic & Electrical Equipment
328,MONDELEZ,US,Food Producers
329,HANWHA,South Korea,General Industrials
330,H LUNDBECK,Denmark,Pharmaceuticals & Biotechnology
331,KAWASAKI HEAVY INDUSTRIES,Japan,General Industrials
332,VILMORIN,France,Food Producers
333,COMPAL ELECTRONICS,Taiwan,Electronic & Electrical Equipment
334,POSCO,South Korea,Industrial Metals & Mining
335,KUBOTA,Japan,General Industrials
336,BEIQI FOTON MOTOR,China,Industrial Engineering
337,DOOSAN,South Korea,General Industrials
338,ZIMMER BIOMET,US,Health Care Equipment & Services
339,BROTHER INDUSTRIES,Japan,Technology Hardware & Equipment
340,OSRAM LICHT,Germany,Household Goods & Home Construction
341,FANUC,Japan,Industrial Engineering
342,COMMERZBANK,Germany,Banks
343,ELECTROLUX,Sweden,Household Goods & Home Construction
344,CHIESI FARMACEUTICI,Italy,Pharmaceuticals & Biotechnology
345,MCKESSON,US,Health Care Equipment & Services
346,AKZO NOBEL,Netherlands,Chemicals
347,COMMONWEALTH BANK OF AUSTRALIA,Australia,Banks
348,SOHU.COM,US,Software & Computer Services
349,ADVANCED SEMICONDUCTOR ENGINEERING,Taiwan,Technology Hardware & Equipment
350,DANONE,France,Food Producers
351,HANGZHOU HIKVISION DIGITAL TECHNOLOGY,China,Leisure Goods
352,TRIMBLE,US,Electronic & Electrical Equipment
353,PALO ALTO NETWORKS,US,Software & Computer Services
354,DANSKE BANK,Denmark,Banks
355,BOE TECHNOLOGY GROUP,China,Electronic & Electrical Equipment
356,QUANTA COMPUTER,Taiwan,Technology Hardware & Equipment
357,KNORR-BREMSE,Germany,Industrial Engineering
358,INNOLUX,Taiwan,Electronic & Electrical Equipment
359,RELX GROUP,UK,Media
360,INTERNATIONAL GAME TECHNOLOGY,UK,Travel & Leisure
361,BORGWARNER,US,Automobiles & Parts
362,ATLAS COPCO,Sweden,Industrial Engineering
363,HTC,Taiwan,Technology Hardware & Equipment
364,SOLVAY,Belgium,Chemicals
365,ASAHI GLASS,Japan,General Industrials
366,GOPRO,US,Leisure Goods
367,ALNYLAM PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology
368,F5 NETWORKS,US,Technology Hardware & Equipment
369,SUN PHARMACEUTICAL INDUSTRIES,India,Pharmaceuticals & Biotechnology
370,SAMSUNG ELECTRO-MECHANICS,South Korea,Electronic & Electrical Equipment
371,CYPRESS SEMICONDUCTOR,US,Technology Hardware & Equipment
372,REALTEK SEMICONDUCTOR,Taiwan,Technology Hardware & Equipment
373,HALLIBURTON,US,"Oil Equipment, Services & Distribution"
374,KIMBERLY-CLARK,US,Personal Goods
375,DSM,Netherlands,Chemicals
376,FITBIT,US,Health Care Equipment & Services
377,AGILENT TECHNOLOGIES,US,Electronic & Electrical Equipment
378,TOYOTA BOSHOKU,Japan,Automobiles & Parts
379,TSINGHUA TONGFANG,China,Technology Hardware & Equipment
380,ZYNGA,US,Software & Computer Services
381,EMERSON ELECTRIC,US,Electronic & Electrical Equipment
382,ROCKWELL AUTOMATION,US,Industrial Engineering
383,ROHM,Japan,Technology Hardware & Equipment
384,VALE,Brazil,Mining
385,SEMICONDUCTOR MANUFACTURING,China,Technology Hardware & Equipment
386,B BRAUN MELSUNGEN,Germany,Health Care Equipment & Services
387,TOYOTA INDUSTRIES,Japan,Automobiles & Parts
388,MERIEUX ALLIANCE,France,Pharmaceuticals & Biotechnology
389,GKN,UK,Automobiles & Parts
390,SKYWORKS SOLUTIONS,US,Technology Hardware & Equipment
391,TRUMPF,Germany,General Industrials
392,AUSTRALIA & NEW ZEALAND BANKING,Australia,Banks
393,ATLASSIAN CORPORATION,UK,Software & Computer Services
394,HARRIS,US,Technology Hardware & Equipment
395,JOHNSON CONTROLS,Ireland,General Industrials
396,CR BARD,US,Health Care Equipment & Services
397,MICROSEMI,US,Technology Hardware & Equipment
398,ANHUI JIANGHUAI AUTOMOBILE,China,Automobiles & Parts
399,IHI,Japan,Industrial Engineering
400,JFE,Japan,Industrial Metals & Mining
401,CIRRUS LOGIC,US,Technology Hardware & Equipment
402,TEIJIN,Japan,Chemicals
403,TABLEAU SOFTWARE,US,Software & Computer Services
404,FREUDENBERG,Germany,General Industrials
405,BLACKBERRY,Canada,Technology Hardware & Equipment
406,FUJI ELECTRIC,Japan,Electronic & Electrical Equipment
407,STATOIL,Norway,Oil & Gas Producers
408,GEELY AUTOMOBILE,China,Automobiles & Parts
409,AGCO,US,Industrial Engineering
410,SPLUNK,US,Software & Computer Services
411,RWE,Germany,"Gas, Water & Multiutilities"
412,VISTEON,US,Automobiles & Parts
413,CONSTELLATION SOFTWARE,Canada,Software & Computer Services
414,OPEN TEXT,Canada,Software & Computer Services
415,KOITO MANUFACTURING,Japan,Automobiles & Parts
416,SEKISUI CHEMICAL,Japan,Construction & Materials
417,SYNAPTICS,US,Technology Hardware & Equipment
418,GUANGZHOU AUTOMOBILE,China,Automobiles & Parts
419,TERADYNE,US,Technology Hardware & Equipment
420,BE AEROSPACE,US,Aerospace & Defence
421,ALLSCRIPTS HEALTHCARE SOLUTIONS,US,Software & Computer Services
422,SHANXI TAIGANG STAINLESS STEEL,China,Industrial Metals & Mining
423,AKAMAI TECHNOLOGIES,US,Software & Computer Services
424,COLGATE-PALMOLIVE,US,Personal Goods
425,TERUMO,Japan,Health Care Equipment & Services
426,GODADDY,US,Software & Computer Services
427,FIREEYE,US,Software & Computer Services
428,DASSAULT AVIATION,France,Aerospace & Defence
429,SKY,UK,Media
430,SKF,Sweden,Industrial Engineering
431,SERVICENOW,US,Software & Computer Services
432,DR REDDY'S LABORATORIES,India,Pharmaceuticals & Biotechnology
433,L'AIR LIQUIDE,France,Chemicals
434,ALSTOM,France,Industrial Engineering
435,AU OPTRONICS,Taiwan,Electronic & Electrical Equipment
436,SCIENTIFIC GAMES,US,Travel & Leisure
437,TERADATA,US,Software & Computer Services
438,ALPS ELECTRIC,Japan,Electronic & Electrical Equipment
439,KERRY,Ireland,Food Producers
440,HILTI,Liechtenstein,Construction & Materials
441,GRUNENTHAL,Germany,Pharmaceuticals & Biotechnology
442,ARISTA NETWORKS,US,Software & Computer Services
443,COVESTRO,Germany,Chemicals
444,RHEINMETALL,Germany,Automobiles & Parts
445,PARKER-HANNIFIN,US,Industrial Engineering
446,NUANCE COMMUNICATIONS,US,Software & Computer Services
447,BAKER HUGHES A GE,US,Industrial Engineering
448,JIANGLING MOTORS,China,Automobiles & Parts
449,SQUARE,US,Software & Computer Services
450,INVENTEC,Taiwan,Technology Hardware & Equipment
451,DAI NIPPON PRINTING,Japan,Media
452,BURELLE,France,General Industrials
453,FIBERHOME TELEKOMMUNICATIONS TECHNOLOGIES,China,Fixed Line Telecommunications
454,ADVANTEST,Japan,Technology Hardware & Equipment
455,HASBRO,US,Leisure Goods
456,NATIONAL INSTRUMENTS,US,Electronic & Electrical Equipment
457,LESHI INTERNET INFORMATION & TECHNOLOGY CORPORATION,China,Software & Computer Services
458,JUNO THERAPEUTICS,US,Pharmaceuticals & Biotechnology
459,MITSUI CHEMICALS,Japan,Chemicals
460,KINGSOFT,China,Software & Computer Services
461,MALLINCKRODT,Ireland,Pharmaceuticals & Biotechnology
462,YANDEX,Netherlands,Software & Computer Services
463,NITTO DENKO,Japan,Chemicals
464,TECHTRONIC INDUSTRIES,China,Electronic & Electrical Equipment
465,DIEHL,Germany,General Industrials
466,LEGRAND,France,Electronic & Electrical Equipment
467,KOBE STEEL,Japan,Industrial Metals & Mining
468,VERIFONE SYSTEMS,US,Technology Hardware & Equipment
469,GEMALTO,Netherlands,Electronic & Electrical Equipment
470,ELBIT SYSTEMS,Israel,Aerospace & Defence
471,BAE SYSTEMS,UK,Aerospace & Defence
472,COHERUS BIOSCIENCES,US,Pharmaceuticals & Biotechnology
473,INTERNATIONAL FLAVORS & FRAGRANCES,US,Chemicals
474,VARIAN MEDICAL SYSTEMS,US,Health Care Equipment & Services
475,AMDOCS,UK,Software & Computer Services
476,CLOVIS ONCOLOGY,US,Pharmaceuticals & Biotechnology
477,NOVOZYMES,Denmark,Pharmaceuticals & Biotechnology
478,DIALOG SEMICONDUCTOR,UK,Technology Hardware & Equipment
479,PACCAR,US,Industrial Engineering
480,MELLANOX TECHNOLOGIES,Israel,Technology Hardware & Equipment
481,NAVISTAR INTERNATIONAL,US,Industrial Engineering
482,PORTOLA PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology
483,CAVIUM,US,Technology Hardware & Equipment
484,PURE STORAGE,US,Technology Hardware & Equipment
485,ASSA ABLOY,Sweden,Construction & Materials
486,KANEKA,Japan,Chemicals
487,ANHEUSER-BUSCH INBEV,Belgium,Beverages
488,NEXTEER,US,Automobiles & Parts
489,NCR,US,Technology Hardware & Equipment
490,INTUITIVE SURGICAL,US,Health Care Equipment & Services
491,PIRELLI,Italy,Automobiles & Parts
492,ARCELORMITTAL,Luxembourg,Industrial Metals & Mining
493,ZILLOW GROUP,US,Real Estate Investment & Services
494,WORLDPAY,UK,Support Services
495,TESARO,US,Pharmaceuticals & Biotechnology
496,NETSCOUT SYSTEMS,US,Software & Computer Services
497,ARKEMA,France,Chemicals
498,DANFOSS,Denmark,Industrial Engineering
499,TOYODA GOSEI,Japan,Automobiles & Parts
500,INFINERA,US,Technology Hardware & Equipment
501,YOKOGAWA ELECTRIC,Japan,Electronic & Electrical Equipment
502,HOLOGIC,US,Health Care Equipment & Services
503,TOMTOM,Netherlands,Electronic & Electrical Equipment
504,SMITH & NEPHEW,UK,Health Care Equipment & Services
505,JOHNSON MATTHEY,UK,Chemicals
506,PTC,US,Software & Computer Services
507,SAAB,Sweden,Aerospace & Defence
508,DRAGERWERK,Germany,Health Care Equipment & Services
509,LIXIL GROUP,Japan,Construction & Materials
510,CLAAS,Germany,Industrial Engineering
511,GRIFOLS,Spain,Pharmaceuticals & Biotechnology
512,NEWELL BRANDS,US,Household Goods & Home Construction
513,DEUTSCHE TELEKOM,Germany,Fixed Line Telecommunications
514,NOVAVAX,US,Pharmaceuticals & Biotechnology
515,TEMENOS,Switzerland,Software & Computer Services
516,ATHENAHEALTH,US,Software & Computer Services
517,ROCKWELL COLLINS,US,Aerospace & Defence
518,MEIJI,Japan,Food Producers
519,ILLINOIS TOOL WORKS,US,Industrial Engineering
520,IBERDROLA,Spain,Electricity
521,SWATCH,Switzerland,Personal Goods
522,WEYBOURNE GROUP,UK,Household Goods & Home Construction
523,IPSEN,France,Pharmaceuticals & Biotechnology
524,TOKAI RIKA,Japan,Automobiles & Parts
525,DOLBY LABORATORIES,US,Media
